Ref,Val,Package,PosX,PosY,Rot,Side
"C106","CAP_100n_50V_X7R_0805","C0805-X7R",144.400000,-71.200000,270.000000,bottom
"C107","CAP_100n_50V_X7R_0805","C0805-X7R",148.700000,-71.200000,270.000000,bottom
"C108","CAP_100n_50V_X7R_0805","C0805-X7R",156.400000,-71.200000,270.000000,bottom
"C111","CAP_100n_50V_X7R_0805","C0805-X7R",159.800000,-63.300000,0.000000,bottom
"C112","CAP_100n_50V_X7R_0805","C0805-X7R",159.800000,-55.500000,0.000000,bottom
"C113","CAP_100n_50V_X7R_0805","C0805-X7R",159.800000,-53.100000,0.000000,bottom
"C114","CAP_100n_50V_X7R_0805","C0805-X7R",156.400000,-51.600000,90.000000,bottom
"C115","CAP_100n_50V_X7R_0805","C0805-X7R",151.400000,-51.600000,90.000000,bottom
"C116","CAP_100n_50V_X7R_0805","C0805-X7R",143.600000,-51.600000,90.000000,bottom
"C117","CAP_100n_50V_X7R_0805","C0805-X7R",140.900000,-51.600000,90.000000,bottom
"C118","CAP_100n_50V_X7R_0805","C0805-X7R",140.100000,-57.100000,180.000000,bottom
"C119","CAP_100n_50V_X7R_0805","C0805-X7R",140.100000,-59.700000,180.000000,bottom
"C120","CAP_100n_50V_X7R_0805","C0805-X7R",139.500000,-66.000000,180.000000,bottom
"C121","CAP_100n_50V_X7R_0805","C0805-X7R",139.500000,-69.600000,180.000000,bottom
"C101","CAP_100n_50V_X7R_0805","C0805-X7R",60.200000,-50.800000,90.000000,top
"C102","CAP_10u0_25V_X5R_0805","C0805-X7R",163.100000,-78.900000,270.000000,top
"C103","CAP_100n_50V_X7R_0805","C0805-X7R",161.100000,-78.900000,270.000000,top
"C104","CAP_100n_50V_X7R_0805","C0805-X7R",148.200000,-79.800000,270.000000,top
"C105","CAP_100n_50V_X7R_0805","C0805-X7R",240.700000,-50.000000,90.000000,top
"C109","CAP_100n_50V_X7R_0805","C0805-X7R",158.500000,-75.200000,90.000000,top
"C110","CAP_100n_50V_X7R_0805","C0805-X7R",163.800000,-70.300000,180.000000,top
"C122","CAP_10u0_25V_X5R_0805","C0805-X7R",242.200000,-68.800000,270.000000,top
"C123","CAP_22u0_10V_X5R_0805","C0805-X7R",229.000000,-70.800000,90.000000,top
"C124","CAP_100n_50V_X7R_0805","C0805-X7R",187.500000,-84.000000,180.000000,top
"C125","CAP_10u0_25V_X5R_0805","C0805-X7R",255.100000,-87.100000,270.000000,top
"C126","CAP_100n_50V_X7R_0805","C0805-X7R",251.400000,-77.700000,270.000000,top
"C127","CAP_10u0_25V_X5R_0805","C0805-X7R",249.400000,-77.700000,270.000000,top
"C128","CAP_10u0_25V_X5R_0805","C0805-X7R",238.700000,-87.100000,270.000000,top
"C129","CAP_100n_50V_X7R_0805","C0805-X7R",235.000000,-77.700000,270.000000,top
"C130","CAP_10u0_25V_X5R_0805","C0805-X7R",233.000000,-77.700000,270.000000,top
"C131","CAP_10u0_25V_X5R_0805","C0805-X7R",179.700000,-87.100000,270.000000,top
"C132","CAP_100n_50V_X7R_0805","C0805-X7R",176.000000,-77.700000,270.000000,top
"C133","CAP_10u0_25V_X5R_0805","C0805-X7R",174.000000,-77.700000,270.000000,top
"C201","CAP_10n0_50V_X7R_0805","C0805-X7R",194.000000,-71.100000,270.000000,top
"C202","CAP_100n_50V_X7R_0805","C0805-X7R",197.800000,-58.300000,270.000000,top
"C203","CAP_100n_50V_X7R_0805","C0805-X7R",224.100000,-76.200000,180.000000,top
"C204","CAP_100n_50V_X7R_0805","C0805-X7R",198.000000,-87.300000,90.000000,top
"C205","CAP_10u0_25V_X5R_0805","C0805-X7R",195.400000,-58.300000,270.000000,top
"C206","CAP_10u0_25V_X5R_0805","C0805-X7R",197.800000,-61.800000,90.000000,top
"C207","CAP_100n_50V_X7R_0805","C0805-X7R",252.200000,-69.300000,90.000000,top
"C208","CAP_1n00_50V_X7R_0805","C0805-X7R",260.800000,-73.900000,0.000000,top
"C209","CAP_100n_10V_X7R_0402","C0402-X7R",207.700000,-71.600000,270.000000,top
"C210","CAP_100n_10V_X7R_0402","C0402-X7R",210.300000,-71.600000,270.000000,top
"C211","CAP_100n_10V_X7R_0402","C0402-X7R",213.000000,-71.600000,270.000000,top
"C212","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-66.500000,0.000000,top
"C213","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-64.900000,0.000000,top
"C214","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-61.300000,0.000000,top
"C215","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-58.900000,0.000000,top
"C216","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-57.300000,0.000000,top
"C217","CAP_100n_10V_X7R_0402","C0402-X7R",213.000000,-51.400000,90.000000,top
"C218","CAP_100n_10V_X7R_0402","C0402-X7R",210.300000,-51.400000,90.000000,top
"C219","CAP_100n_10V_X7R_0402","C0402-X7R",207.400000,-51.400000,90.000000,top
"C220","CAP_100n_10V_X7R_0402","C0402-X7R",200.000000,-57.100000,180.000000,top
"C221","CAP_100n_10V_X7R_0402","C0402-X7R",200.000000,-64.500000,180.000000,top
"C222","CAP_100n_10V_X7R_0402","C0402-X7R",200.000000,-66.900000,180.000000,top
"C223","CAP_100n_10V_X7R_0402","C0402-X7R",205.600000,-71.600000,270.000000,top
"C224","CAP_100n_10V_X7R_0402","C0402-X7R",209.100000,-71.600000,270.000000,top
"C225","CAP_100n_10V_X7R_0402","C0402-X7R",211.500000,-71.600000,270.000000,top
"C226","CAP_100n_10V_X7R_0402","C0402-X7R",215.000000,-71.600000,270.000000,top
"C227","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-63.700000,0.000000,top
"C228","CAP_100n_10V_X7R_0402","C0402-X7R",220.100000,-60.100000,0.000000,top
"C229","CAP_100n_10V_X7R_0402","C0402-X7R",215.400000,-51.400000,90.000000,top
"C230","CAP_100n_10V_X7R_0402","C0402-X7R",209.100000,-51.400000,90.000000,top
"C231","CAP_100n_10V_X7R_0402","C0402-X7R",205.300000,-51.400000,90.000000,top
"C232","CAP_100n_10V_X7R_0402","C0402-X7R",200.000000,-58.500000,180.000000,top
"C233","CAP_100n_10V_X7R_0402","C0402-X7R",200.000000,-60.900000,180.000000,top
"C301","CAP_10u0_25V_X5R_0805","C0805-X7R",99.600000,-53.000000,270.000000,top
"C302","CAP_100n_50V_X7R_0805","C0805-X7R",99.594668,-59.200000,0.000000,top
"C303","CAP_5n60_50V_X7R_0805","C0805-X7R",99.600000,-63.200000,180.000000,top
"C304","CAP_10u0_25V_X5R_0805","C0805-X7R",96.094668,-59.200000,0.000000,top
"C305","CAP_100n_50V_X7R_0805","C0805-X7R",99.600000,-61.200000,0.000000,top
"C306","CAP_150p_50V_C0G_0805","C0805-X7R",96.100000,-61.200000,180.000000,top
"C307","CAP_100n_50V_X7R_0805","C0805-X7R",118.100000,-71.500000,180.000000,top
"C308","CAP_10u0_25V_X5R_0805","C0805-X7R",114.100000,-67.900000,90.000000,top
"C309","CAP_100n_50V_X7R_0805","C0805-X7R",103.900000,-67.900000,90.000000,top
"C310","CAP_100n_50V_X7R_0805","C0805-X7R",112.100000,-67.900000,90.000000,top
"C311","CAP_100n_50V_X7R_0805","C0805-X7R",116.100000,-53.000000,270.000000,top
"C312","CAP_100n_50V_X7R_0805","C0805-X7R",103.600000,-53.000000,270.000000,top
"C313","CAP_10u0_25V_X5R_0805","C0805-X7R",114.100000,-53.000000,270.000000,top
"C314","CAP_100n_50V_X7R_0805","C0805-X7R",101.600000,-53.000000,270.000000,top
"C315","CAP_100n_50V_X7R_0805","C0805-X7R",99.600000,-65.200000,0.000000,top
"C316","CAP_100n_50V_X7R_0805","C0805-X7R",116.100000,-67.900000,90.000000,top
"C317","CAP_100n_50V_X7R_0805","C0805-X7R",112.100000,-53.000000,270.000000,top
"D201","DIO_MBR120VLSFT","SOD123",252.200000,-65.300000,90.000000,top
"FER301","FER_600R_600MA_0805","C0805-RES",97.600000,-53.000000,270.000000,top
"FER302","FER_600R_600MA_0805","C0805-RES",96.100000,-57.200000,0.000000,top
"IC101","IC_CS2100CP","MSOP10_3x3mm_Pitch0.5mm",156.900000,-78.800000,180.000000,top
"IC102","IC_PCA9545APW","TSSOP20_4.4x6.5mm_Pitch0.65mm",63.200000,-45.500000,180.000000,top
"IC103","IC_PCA9545APW","TSSOP20_4.4x6.5mm_Pitch0.65mm",245.800000,-45.700000,180.000000,top
"IC104","IC_LCMXO2-1200HC-6TG144C","TQFP144_20x20mm_Pitch0.5mm",150.000000,-61.400000,90.000000,top
"IC105","IC_TLV62565","SOT23-5",239.600000,-68.800000,270.000000,top
"IC106","IC_ADM811TARTZ","SOT143",187.500000,-87.100000,0.000000,top
"IC107","IC_LM1117MP-5.0","SOT223",250.400000,-84.200000,0.000000,top
"IC108","IC_NCP1117LPST33","SOT223",234.000000,-84.200000,0.000000,top
"IC109","IC_NCP1117LPST33","SOT223",175.000000,-84.200000,0.000000,top
"IC201","IC_XE216-512-TQ128","TQFP-128_14x14mm_Pitch0.4mm_EP_Handsoldering",210.000000,-61.500000,90.000000,top
"IC202","IC_NCP4681DSQ25T1G","SC70-5",195.600000,-61.800000,0.000000,top
"IC203","IC_IS25LP080D","SOIC8_3.9x4.9mm_Pitch1.27mm",221.400000,-71.400000,270.000000,top
"IC204","IC_NC7WZ07","SC70-6",195.900000,-87.300000,0.000000,top
"IC302","IC_25AA1024","SOIJ8_5.3x5.3mm_P1.27mm",111.500000,-73.400000,0.000000,top
"L101","IND_2U20_30%_4A5","MCSDRH73B",234.000000,-68.800000,270.000000,top
"Q301","Q_STD2805","TO252-2Lead",99.000000,-68.000000,180.000000,top
"R101","RES_10K0_1%_0.125W_Thick_0805","C0805-RES",151.300000,-83.200000,180.000000,top
"R102","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",73.500000,-41.900000,270.000000,top
"R103","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",71.500000,-41.900000,270.000000,top
"R104","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",57.700000,-41.800000,270.000000,top
"R105","RES_2K00_1%_0.125W_Thick_0805","C0805-RES",55.700000,-41.800000,270.000000,top
"R106","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",69.900000,-44.900000,0.000000,top
"R107","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",69.900000,-46.900000,0.000000,top
"R108","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",69.900000,-48.900000,0.000000,top
"R109","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",62.800000,-51.500000,270.000000,top
"R110","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",64.800000,-51.500000,270.000000,top
"R111","RES_47K0_1%_0.125W_Thick_0805","C0805-RES",66.800000,-51.500000,270.000000,top
